;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;26.2;False;False;8.8;10.69;;;;0
1;26.1;False;False;10.97;11.48;;;;0
2;21.2;False;False;12.15;13.9;;;;0
3;21.1;False;True;8.53;8.24;;;;0
4;9.2;False;False;4.74;19.18;;;;0
5;9.1;False;False;3.15;24.87;;;;0
6;4.2;False;False;9.77;14.23;;;;0
7;4.1;False;True;12.74;11.62;;;;0
8;23.1;False;False;22.4;23.52;;;5.59;3
9;23.2;False;False;2.14;37.6;;;;0
10;20.2;False;False;3.65;33.82;;;;0
11;20.1;False;False;10.36;23.89;;;;0
12;5.1;False;False;6.57;15.08;;;;0
13;5.2;False;False;5.47;24.31;;;;0
14;24.1;False;False;9.67;19.65;;;;0
15;24.2;False;False;12.38;25.81;;;;0
16;29.2;False;False;1.29;56.16;;;;0
17;29.1;False;False;0.33;5.6;;;;0
18;30.1;False;False;6.19;12.23;;;;0
19;30.2;False;False;7.12;76.51;;;;0
20;19.2;False;False;2.86;83.73;;;;0
21;19.1;False;False;12.05;15.75;;;;0
22;3.1;False;False;8.29;32.84;;;;0
23;3.2;False;False;14.01;62.23;;;4.63;1
24;28.2;False;False;1.62;7.32;;;;0
25;28.1;False;False;8.52;39.71;;;;0
26;12.2;False;False;2.9;48.36;;;;0
27;12.1;False;False;0.85;75.47;;;;0
28;25.1;False;False;9.83;11.93;;;;0
29;25.2;False;False;11.4;12.18;;;;0
30;15.2;False;False;20.31;28.32;;;;0
31;15.1;True;False;;;;;;0
32;6.2;False;False;4.51;41.83;;;;0
33;6.1;False;False;1.83;41.87;;;;0
34;13.1;False;False;2.48;3.05;;;;0
35;13.2;False;False;9.21;24.32;;;;0
36;11.1;False;False;3.27;29.01;;;;0
37;11.2;False;True;2.54;2.27;;;;0
38;22.1;False;False;14.25;30.71;;;;0
39;22.2;False;False;5.71;44.89;;;;0
40;18.2;False;False;79.01;99.85;;;3.18;1
41;14.1;False;False;8.11;9.15;;;;0
42;14.2;False;False;8.92;37.23;;;;0
43;16.1;False;False;2.99;53.89;;;;0
44;16.2;False;False;3.73;29.7;;;;0
45;1.1;False;True;1.74;1.63;;;;0
46;1.2;False;False;8.27;31.08;;;;0
47;10.2;False;False;7.3;47.59;;;;0
48;10.1;False;False;15.06;32.67;;;9.68;1
49;7.2;False;False;6.34;23.85;;;;0
50;7.1;False;False;7.43;29.42;;;;0
51;17.1;False;False;4.53;36.67;;;;0
52;17.2;False;False;1.5;36.54;;;;0
53;2.1;False;False;12.5;79.39;;;;0
54;2.2;False;False;2.08;31.7;;;;0
55;27.1;False;False;4.51;9.43;;;;0
56;27.2;False;False;6.2;8.09;;;;0
57;8.2;False;False;6.37;7.21;;;;0
58;8.1;False;False;5.05;24.51;;;;0
59;26.0;False;False;17.65;;;;;0
60;21.0;False;False;37.79;38.45;;;;0
61;9.0;False;False;16.38;19.7;;;;0
62;4.0;False;False;9.52;26.16;;;;0
63;23.0;False;True;14.33;12.09;;;;0
64;20.0;False;False;7.65;79.75;;;;0
65;5.0;False;False;0.0;69.18;;;;0
66;24.0;False;False;1.55;38.09;;;;0
67;29.0;False;False;10.94;49.4;;;;0
68;30.0;False;False;4.63;11.41;;;;0
69;19.0;False;False;0.0;71.04;;;;0
70;3.0;False;True;8.1;3.86;;;;0
71;28.0;False;False;17.82;43.27;;;;0
72;12.0;False;False;3.74;97.13;;;;0
73;25.0;False;False;0.0;62.1;;;;0
74;15.0;False;False;0.4;1.38;;;;0
75;6.0;False;False;5.47;11.37;;;;0
76;13.0;False;False;2.51;59.69;;;;0
77;11.0;False;False;4.56;12.71;;;;0
78;22.0;False;False;4.39;5.69;;;;0
79;18.0;False;False;2.44;29.38;;;;0
80;14.0;False;False;6.78;28.83;;;;0
81;16.0;False;False;0.9;39.49;;;;0
82;1.0;False;False;8.92;57.46;;;;0
83;10.0;False;False;2.67;49.68;;;;0
84;7.0;False;True;15.72;11.71;;;;0
85;17.0;False;True;20.05;12.15;;;;0
86;2.0;False;False;6.35;40.16;;;;0
87;27.0;False;False;1.37;38.58;;;;0
88;8.0;False;False;1.77;13.05;;;;0
