trial,response_1,response_2,preferred,prop_response_1,prop_response_2,entropy
1,9,1,1.1,0.9,0.1,0.469
2,10,0,2.1,1.0,0.0,0.0
3,6,4,3.1,0.6,0.4,0.971
4,9,1,4.1,0.9,0.1,0.469
5,0,10,5.2,0.0,1.0,0.0
6,1,9,6.2,0.1,0.9,0.469
7,9,1,7.1,0.9,0.1,0.469
8,4,6,8.2,0.4,0.6,0.971
9,5,5,9.1,0.5,0.5,1.0
10,2,8,10.2,0.2,0.8,0.722
11,2,8,11.2,0.2,0.8,0.722
12,4,6,12.2,0.4,0.6,0.971
13,0,10,13.2,0.0,1.0,0.0
14,2,8,14.2,0.2,0.8,0.722
15,9,1,15.1,0.9,0.1,0.469
16,2,8,16.2,0.2,0.8,0.722
17,10,0,17.1,1.0,0.0,0.0
18,9,0,18.1,1.0,0.0,0.0
19,8,2,19.1,0.8,0.2,0.722
20,7,3,20.1,0.7,0.3,0.881
21,8,2,21.1,0.8,0.2,0.722
22,0,10,22.2,0.0,1.0,0.0
23,3,7,23.2,0.3,0.7,0.881
24,1,9,24.2,0.1,0.9,0.469
25,9,1,25.1,0.9,0.1,0.469
26,6,4,26.1,0.6,0.4,0.971
27,2,8,27.2,0.2,0.8,0.722
28,1,9,28.2,0.1,0.9,0.469
29,2,8,29.2,0.2,0.8,0.722
30,10,0,30.1,1.0,0.0,0.0
